"canonical_or_proposed_url","title","main_topic_inferred","audience_inferred","intent_stage_inferred","publication_date_local_metadata","updated_date_local_metadata","publishAt_local","live_sitemap","http_status","body_review_basis"
"https://www.form5472prep.com/blog/ein-third-party-designee-apply-on-your-behalf","Can a Third-Party Designee Get an EIN for You?","EIN","Foreign owners of US LLCs","Take action","2026-08-30","2026-08-30","","yes","200","Local body reviewed; live body not compared"
"https://www.form5472prep.com/blog/final-form-5472-closing-foreign-owned-llc","Final Form 5472 After Closing a U.S. LLC","Form 5472 eligibility and operations","Foreign owners of US LLCs","Maintain or troubleshoot","2026-09-28","2026-08-28","2026-09-28T09:00:00-04:00","no","not checked","Local body reviewed; live body not compared"
"https://www.form5472prep.com/blog/first-year-form-5472-new-llc","First-Year Form 5472 for New Foreign-Owned LLCs","Form 5472 eligibility and operations","Foreign owners of US LLCs","Understand the problem","2026-08-17","2026-08-28","2026-08-17T09:00:00-04:00","yes","200","Metadata only; coverage unassessed"
"https://www.form5472prep.com/blog/florida-llc-foreign-owner-tax-filing","Florida LLC Filing Checklist for Foreign Owners","Jurisdiction-specific","Foreign owners of US LLCs","Take action","2026-08-19","2026-09-05","","yes","200","Metadata only; coverage unassessed"
"https://www.form5472prep.com/blog/foreign-owned-llc-filing-requirements-checklist","Foreign-Owned US LLC Filing Checklist (2026)","Form 5472 eligibility and operations","Foreign owners of US LLCs","Take action","2026-08-15","2026-09-05","","yes","200","Live body reviewed; local body also available"
"https://www.form5472prep.com/blog/form-5472-1099-k-foreign-owned-llc","My Foreign-Owned LLC Received a 1099-K: Does It Go on Form 5472?","Transactions and records","Foreign owners of US LLCs","Understand the problem","2026-09-11","2026-09-11","","yes","200","Metadata only; coverage unassessed"
"https://www.form5472prep.com/blog/form-5472-airbnb-short-term-rental-host","Airbnb US LLC Non-Resident Taxes and Form 5472","Form 5472 eligibility and operations","Foreign owners of US LLCs","Understand the problem","2026-08-28","2026-08-28","","yes","200","Metadata only; coverage unassessed"
"https://www.form5472prep.com/blog/form-5472-australia-residents-us-llc","Form 5472 for Australian Owners of a US LLC","Jurisdiction-specific","Foreign owners of US LLCs","Understand the problem","2026-08-19","2026-08-19","","yes","200","Metadata only; coverage unassessed"
"https://www.form5472prep.com/blog/form-5472-brazil-residents-us-llc","Form 5472 for Brazil Residents With a US LLC","Form 5472 eligibility and operations","Foreign owners of US LLCs","Understand the problem","2026-08-28","2026-08-28","","yes","200","Metadata only; coverage unassessed"
"https://www.form5472prep.com/blog/form-5472-business-address-owner-address","Form 5472 Address: Business vs Foreign Owner Address","Form 5472 eligibility and operations","Foreign owners of US LLCs","Understand the problem","2026-08-25","2026-08-25","","yes","200","Metadata only; coverage unassessed"
"https://www.form5472prep.com/blog/form-5472-canada-residents-us-llc","Form 5472 for Canada Residents With a US LLC","Jurisdiction-specific","Foreign owners of US LLCs","Understand the problem","2026-06-19","2026-07-06","","yes","200","Metadata only; coverage unassessed"
"https://www.form5472prep.com/blog/form-5472-cash-accrual-year-end-cutoff","Form 5472 Cash vs Accrual: Year-End Transaction Cutoff","Transactions and records","Foreign owners of US LLCs","Understand the problem","2026-09-11","2026-09-11","","yes","200","Metadata only; coverage unassessed"
"https://www.form5472prep.com/blog/form-5472-change-of-ownership","Form 5472 After a Change of LLC Ownership","Form 5472 eligibility and operations","Foreign owners of US LLCs","Maintain or troubleshoot","2026-08-19","2026-09-05","","yes","200","Live body reviewed; local body also available"
"https://www.form5472prep.com/blog/form-5472-china-residents-us-llc","Form 5472 for China Residents With a US LLC","Form 5472 eligibility and operations","Foreign owners of US LLCs","Understand the problem","2026-08-28","2026-08-28","","yes","200","Metadata only; coverage unassessed"
"https://www.form5472prep.com/blog/form-5472-cost","Form 5472 Filing Cost: 2026 Breakdown","Form 5472 eligibility and operations","Foreign owners of US LLCs","Compare solutions","2026-07-05","2026-08-14","","yes","200","Live body reviewed; local body also available"
"https://www.form5472prep.com/blog/form-5472-crypto-owner-transfers","Form 5472 for Crypto Transfers Between an LLC and Its Owner","Transactions and records","Foreign owners of US LLCs","Understand the problem","2026-09-11","2026-09-11","","yes","200","Metadata only; coverage unassessed"
"https://www.form5472prep.com/blog/form-5472-currency-conversion-exchange-rates","Form 5472 Exchange Rates: Converting to US Dollars","Form 5472 eligibility and operations","Foreign owners of US LLCs","Maintain or troubleshoot","2026-08-19","2026-08-19","","yes","200","Metadata only; coverage unassessed"
"https://www.form5472prep.com/blog/form-5472-customer-payments-foreign-source-income","Form 5472: Customer Payments vs Owner Transactions","Form 5472 eligibility and operations","Foreign owners of US LLCs","Understand the problem","2026-08-25","2026-08-25","","yes","200","Metadata only; coverage unassessed"
"https://www.form5472prep.com/blog/form-5472-deadline-2026","Form 5472 Deadline for 2026 and 2027","Filing and troubleshooting","Foreign owners of US LLCs","Take action","2026-08-15","2026-09-11","","yes","200","Metadata only; coverage unassessed"
"https://www.form5472prep.com/blog/form-5472-diy-vs-preparer","Form 5472: DIY vs. Hiring a Preparer","Form 5472 eligibility and operations","Foreign owners of US LLCs","Compare solutions","2026-06-15","2026-09-05","","yes","200","Live body reviewed; local body also available"
"https://www.form5472prep.com/blog/form-5472-dormant-llc-no-income","Form 5472 for a Dormant LLC With No Income","Form 5472 eligibility and operations","Foreign owners of US LLCs","Understand the problem","2026-05-28","2026-09-05","","yes","200","Metadata only; coverage unassessed"
"https://www.form5472prep.com/blog/form-5472-ein-pending-deadline","EIN Pending When Form 5472 Is Due: What Can You Do?","EIN","Foreign owners of US LLCs","Take action","2026-09-11","2026-09-11","","yes","200","Metadata only; coverage unassessed"
"https://www.form5472prep.com/blog/form-5472-etsy-print-on-demand-sellers","Form 5472 for Etsy and Print-on-Demand Sellers","Form 5472 eligibility and operations","Foreign owners of US LLCs","Understand the problem","2026-08-28","2026-08-28","","yes","200","Metadata only; coverage unassessed"
"https://www.form5472prep.com/blog/form-5472-extension","Form 5472 Extension: How to Get More Time (Form 7004)","Filing and troubleshooting","Foreign owners of US LLCs","Take action","2026-07-05","2026-09-11","","yes","200","Metadata only; coverage unassessed"
"https://www.form5472prep.com/blog/form-5472-filed-late-never-filed","Filed Late or Never Filed Form 5472? Here&#x27;s What to Do Now","Filing and troubleshooting","Foreign owners of US LLCs","Understand the problem","2026-05-28","2026-09-05","","yes","200","Metadata only; coverage unassessed"
"https://www.form5472prep.com/blog/form-5472-foreign-corporate-owner","Form 5472 When a Foreign Company Owns the US LLC","Form 5472 eligibility and operations","Foreign owners of US LLCs","Understand the problem","2026-08-19","2026-08-19","","yes","200","Metadata only; coverage unassessed"
"https://www.form5472prep.com/blog/form-5472-formation-costs-registered-agent-fees","Form 5472: Formation Costs and Registered Agent Fees","Form 5472 eligibility and operations","Foreign owners of US LLCs","Compare solutions","2026-08-25","2026-08-25","","yes","200","Metadata only; coverage unassessed"
"https://www.form5472prep.com/blog/form-5472-france-residents-us-llc","Form 5472 for French Owners of a US LLC","Form 5472 eligibility and operations","Foreign owners of US LLCs","Understand the problem","2026-08-19","2026-08-19","","yes","200","Metadata only; coverage unassessed"
"https://www.form5472prep.com/blog/form-5472-ftin-reference-id-foreign-address","Form 5472 FTIN, Reference ID, and Foreign Address","Form 5472 eligibility and operations","Foreign owners of US LLCs","Understand the problem","2026-09-05","2026-09-05","","yes","200","Live body reviewed; local body also available"
"https://www.form5472prep.com/blog/form-5472-germany-residents-us-llc","Form 5472 for German Owners of a US LLC","Jurisdiction-specific","Foreign owners of US LLCs","Understand the problem","2026-08-19","2026-08-19","","yes","200","Metadata only; coverage unassessed"
"https://www.form5472prep.com/blog/form-5472-hong-kong-residents-us-llc","Form 5472 for Hong Kong Residents With a US LLC","Jurisdiction-specific","Foreign owners of US LLCs","Understand the problem","2026-08-19","2026-08-19","","yes","200","Metadata only; coverage unassessed"
"https://www.form5472prep.com/blog/form-5472-india-residents-us-llc","Form 5472 for India Residents With a US LLC","Jurisdiction-specific","Foreign owners of US LLCs","Understand the problem","2026-05-28","2026-07-06","","yes","200","Metadata only; coverage unassessed"
"https://www.form5472prep.com/blog/form-5472-irs-receipt-confirmation-status","Did the IRS Receive My Form 5472? Fax Confirmation, Processing and Next Steps","Filing and troubleshooting","Foreign owners of US LLCs","Maintain or troubleshoot","2026-09-11","2026-09-11","","yes","200","Metadata only; coverage unassessed"
"https://www.form5472prep.com/blog/form-5472-italy-residents-us-llc","Form 5472 for Italy Residents With a US LLC","Form 5472 eligibility and operations","Foreign owners of US LLCs","Understand the problem","2026-08-25","2026-08-25","","yes","200","Metadata only; coverage unassessed"
"https://www.form5472prep.com/blog/form-5472-japan-residents-us-llc","Form 5472 for Japan Residents With a US LLC","Form 5472 eligibility and operations","Foreign owners of US LLCs","Understand the problem","2026-08-25","2026-08-25","","yes","200","Metadata only; coverage unassessed"
"https://www.form5472prep.com/blog/form-5472-line-1c-total-assets","Form 5472 Line 1c: Total Assets, Zero or Blank?","Transactions and records","Foreign owners of US LLCs","Understand the problem","2026-09-11","2026-09-11","","yes","200","Metadata only; coverage unassessed"
"https://www.form5472prep.com/blog/form-5472-lines-1f-1g-1h-total-value","Form 5472 Lines 1f, 1g, and 1h Explained","Form 5472 eligibility and operations","Foreign owners of US LLCs","Understand the problem","2026-08-25","2026-08-25","","yes","200","Metadata only; coverage unassessed"
"https://www.form5472prep.com/blog/form-5472-llc-pays-personal-expenses","Form 5472 When Your LLC Pays Your Personal Expenses","Form 5472 eligibility and operations","Foreign owners of US LLCs","Understand the problem","2026-09-11","2026-09-11","","yes","200","Metadata only; coverage unassessed"
"https://www.form5472prep.com/blog/form-5472-mexico-residents-us-llc","Form 5472 for Mexico Residents With a US LLC","Form 5472 eligibility and operations","Foreign owners of US LLCs","Understand the problem","2026-08-19","2026-08-19","","yes","200","Metadata only; coverage unassessed"
"https://www.form5472prep.com/blog/form-5472-multiple-llcs-one-owner","Form 5472 for Multiple LLCs Owned by One Foreign Person","Form 5472 eligibility and operations","Foreign owners of US LLCs","Understand the problem","2026-08-28","2026-09-05","","yes","200","Live body reviewed; local body also available"
"https://www.form5472prep.com/blog/form-5472-netherlands-residents-us-llc","Form 5472 for Dutch Owners of a US LLC","Form 5472 eligibility and operations","Foreign owners of US LLCs","Understand the problem","2026-08-19","2026-08-19","","yes","200","Metadata only; coverage unassessed"
"https://www.form5472prep.com/blog/form-5472-new-zealand-residents-us-llc","Form 5472 for New Zealand Owners of a US LLC","Form 5472 eligibility and operations","Foreign owners of US LLCs","Understand the problem","2026-08-25","2026-08-25","","yes","200","Metadata only; coverage unassessed"
"https://www.form5472prep.com/blog/form-5472-nigeria-residents-us-llc","Form 5472 for Nigeria Residents With a US LLC","Form 5472 eligibility and operations","Foreign owners of US LLCs","Understand the problem","2026-08-28","2026-08-28","","yes","200","Metadata only; coverage unassessed"
"https://www.form5472prep.com/blog/form-5472-no-us-bank-account","Form 5472 With No US Bank Account","Form 5472 eligibility and operations","Foreign owners of US LLCs","Understand the problem","2026-08-25","2026-08-25","","yes","200","Live body reviewed; local body also available"
"https://www.form5472prep.com/blog/form-5472-noncash-property-transfers","Form 5472 for Noncash Property Transfers","Form 5472 eligibility and operations","Foreign owners of US LLCs","Understand the problem","2026-08-28","2026-09-05","","yes","200","Metadata only; coverage unassessed"
"https://www.form5472prep.com/blog/form-5472-nonresident-spouse-joint-return-election","Form 5472 and a Nonresident Spouse&#x27;s Joint-Return Election","Form 5472 eligibility and operations","Foreign owners of US LLCs","Understand the problem","2026-09-11","2026-09-11","","yes","200","Live body reviewed; local body also available"
"https://www.form5472prep.com/blog/form-5472-outstanding-owner-loan-no-transfers","Form 5472 for an Outstanding Owner Loan With No New Transfers","Transactions and records","Foreign owners of US LLCs","Understand the problem","2026-09-11","2026-09-11","","yes","200","Metadata only; coverage unassessed"
"https://www.form5472prep.com/blog/form-5472-owner-loans-contributions-reimbursements","Form 5472 Owner Loans and Contributions","Transactions and records","Foreign owners of US LLCs","Understand the problem","2026-08-24","2026-08-24","2026-08-24T09:00:00-04:00","yes","200","Metadata only; coverage unassessed"
"https://www.form5472prep.com/blog/form-5472-pakistan-residents-us-llc","Form 5472 for Pakistan Residents With a US LLC","Form 5472 eligibility and operations","Foreign owners of US LLCs","Understand the problem","2026-08-19","2026-08-19","","yes","200","Metadata only; coverage unassessed"
"https://www.form5472prep.com/blog/form-5472-part-v-statement-example","Form 5472 Part V Statement Example","Form 5472 eligibility and operations","Foreign owners of US LLCs","Understand the problem","2026-08-19","2026-08-19","","yes","200","Metadata only; coverage unassessed"
"https://www.form5472prep.com/blog/form-5472-partner-program-company-formation-agents","Form 5472 Partner Program for Company Formation Agents","Partners","Formation agents and professional partners","Compare solutions","2026-09-03","2026-09-03","","yes","200","Metadata only; coverage unassessed"
"https://www.form5472prep.com/blog/form-5472-partner-program-how-it-works","How the Form5472 Prep Partner Program Works","Partners","Formation agents and professional partners","Compare solutions","2026-09-03","2026-09-03","","yes","200","Metadata only; coverage unassessed"
"https://www.form5472prep.com/blog/form-5472-partner-program-registered-agents","Form 5472 Partner Program for Registered Agents","Partners","Formation agents and professional partners","Compare solutions","2026-09-03","2026-09-03","","yes","200","Metadata only; coverage unassessed"
"https://www.form5472prep.com/blog/form-5472-penalty-notice-what-to-do","I Got a $25,000 Form 5472 Penalty Notice — Now What?","Filing and troubleshooting","Foreign owners of US LLCs","Understand the problem","2026-08-15","2026-09-05","","yes","200","Metadata only; coverage unassessed"
"https://www.form5472prep.com/blog/form-5472-pro-forma-1120-signature","Can You Electronically Sign Form 5472 and Pro Forma 1120?","Filing and troubleshooting","Foreign owners of US LLCs","Understand the problem","2026-09-11","2026-09-11","","yes","200","Metadata only; coverage unassessed"
"https://www.form5472prep.com/blog/form-5472-reasonable-cause-letter","Form 5472 Reasonable Cause Letter: What to Include","Form 5472 eligibility and operations","Foreign owners of US LLCs","Understand the problem","2026-08-19","2026-08-28","","yes","200","Metadata only; coverage unassessed"
"https://www.form5472prep.com/blog/form-5472-reasonable-estimates-small-amounts","Form 5472 Reasonable Estimates and the $50,000 Reporting Rule","Form 5472 eligibility and operations","Foreign owners of US LLCs","Understand the problem","2026-08-28","2026-09-05","","yes","200","Live body reviewed; local body also available"
"https://www.form5472prep.com/blog/form-5472-recordkeeping-checklist","Form 5472 Recordkeeping Checklist","Form 5472 eligibility and operations","Foreign owners of US LLCs","Take action","2026-09-05","2026-09-11","","yes","200","Live body reviewed; local body also available"
"https://www.form5472prep.com/blog/form-5472-related-party-services-management-fees","Form 5472 for Related-Party Services and Management Fees","Transactions and records","Foreign owners of US LLCs","Compare solutions","2026-08-28","2026-09-05","","yes","200","Live body reviewed; local body also available"
"https://www.form5472prep.com/blog/form-5472-reportable-transactions-examples","Form 5472 Reportable Transactions: 15 Examples","Transactions and records","Foreign owners of US LLCs","Understand the problem","2026-07-27","2026-08-28","2026-07-27T09:00:00-04:00","yes","200","Live body reviewed; local body also available"
"https://www.form5472prep.com/blog/form-5472-royalties-license-fees-intellectual-property","Form 5472 for Royalties, License Fees, and Intellectual Property","Transactions and records","Foreign owners of US LLCs","Understand the problem","2026-08-28","2026-09-05","","yes","200","Live body reviewed; local body also available"
"https://www.form5472prep.com/blog/form-5472-saas-founders","Form 5472 for Foreign-Owned SaaS Founders","Transactions and records","Foreign owners of US LLCs","Understand the problem","2026-08-10","2026-08-19","2026-08-10T09:00:00-04:00","yes","200","Live body reviewed; local body also available"
"https://www.form5472prep.com/blog/form-5472-shopify-dropshipping-foreign-owner","Shopify Dropshipping LLC: Non-Resident Form 5472","Form 5472 eligibility and operations","Foreign owners of US LLCs","Understand the problem","2026-08-19","2026-08-19","","yes","200","Metadata only; coverage unassessed"
"https://www.form5472prep.com/blog/form-5472-short-tax-year","Form 5472 for a Short Tax Year or LLC Formed Late in the Year","Form 5472 eligibility and operations","Foreign owners of US LLCs","Understand the problem","2026-08-28","2026-09-05","","yes","200","Metadata only; coverage unassessed"
"https://www.form5472prep.com/blog/form-5472-singapore-residents-us-llc","Form 5472 for Singapore Owners of a US LLC","Jurisdiction-specific","Foreign owners of US LLCs","Understand the problem","2026-08-19","2026-08-19","","yes","200","Metadata only; coverage unassessed"
"https://www.form5472prep.com/blog/form-5472-spain-residents-us-llc","Form 5472 for Spain Residents With a US LLC","Form 5472 eligibility and operations","Foreign owners of US LLCs","Understand the problem","2026-08-25","2026-08-25","","yes","200","Metadata only; coverage unassessed"
"https://www.form5472prep.com/blog/form-5472-statute-of-limitations","Form 5472 Statute of Limitations: How Far Back?","Form 5472 eligibility and operations","Foreign owners of US LLCs","Understand the problem","2026-08-19","2026-08-28","","yes","200","Metadata only; coverage unassessed"
"https://www.form5472prep.com/blog/form-5472-switzerland-residents-us-llc","Form 5472 for Swiss Residents With a US LLC","Form 5472 eligibility and operations","Foreign owners of US LLCs","Understand the problem","2026-08-25","2026-08-25","","yes","200","Metadata only; coverage unassessed"
"https://www.form5472prep.com/blog/form-5472-uae-dubai-residents-us-llc","Form 5472 for UAE and Dubai Residents with a US LLC","Jurisdiction-specific","Foreign owners of US LLCs","Understand the problem","2026-08-15","2026-08-15","","yes","200","Metadata only; coverage unassessed"
"https://www.form5472prep.com/blog/form-5472-uk-residents-us-llc","Form 5472 for UK Residents With a U.S. LLC","Jurisdiction-specific","Foreign owners of US LLCs","Understand the problem","2026-05-21","2026-08-14","","yes","200","Metadata only; coverage unassessed"
"https://www.form5472prep.com/blog/form-5472-us-real-estate-foreign-investor","Form 5472 Foreign Owner US Rental Property LLC","Form 5472 eligibility and operations","Foreign owners of US LLCs","Understand the problem","2026-08-19","2026-08-19","","yes","200","Metadata only; coverage unassessed"
"https://www.form5472prep.com/blog/form-5472-vs-1040-nr","Form 5472 vs Form 1040-NR: Which Does a Foreign LLC Owner File?","Form 5472 eligibility and operations","Foreign owners of US LLCs","Compare solutions","2026-08-28","2026-09-05","","yes","200","Metadata only; coverage unassessed"
"https://www.form5472prep.com/blog/form-5472-vs-1120-f","Form 5472 vs Form 1120-F for a Foreign Corporation-Owned LLC","Form 5472 eligibility and operations","Foreign owners of US LLCs","Compare solutions","2026-08-28","2026-09-05","","yes","200","Metadata only; coverage unassessed"
"https://www.form5472prep.com/blog/form-5472-vs-form-5471","Form 5472 vs Form 5471 Difference","Form 5472 eligibility and operations","Foreign owners of US LLCs","Compare solutions","2026-08-19","2026-08-19","","yes","200","Metadata only; coverage unassessed"
"https://www.form5472prep.com/blog/form-5472-white-label-vs-standard-partner","White-Label vs Standard Form 5472 Partner Delivery","Partners","Formation agents and professional partners","Compare solutions","2026-09-03","2026-09-03","","yes","200","Metadata only; coverage unassessed"
"https://www.form5472prep.com/blog/form-5472-youtube-creators-influencers","Form 5472 for YouTube Creators and Influencers","Form 5472 eligibility and operations","Foreign owners of US LLCs","Understand the problem","2026-08-28","2026-08-28","","yes","200","Metadata only; coverage unassessed"
"https://www.form5472prep.com/blog/form-8832-election-foreign-owned-llc","Form 8832 Election for a Foreign-Owned LLC","Form 5472 eligibility and operations","Foreign owners of US LLCs","Understand the problem","2026-08-28","2026-08-28","","yes","200","Metadata only; coverage unassessed"
"https://www.form5472prep.com/blog/how-to-fax-form-5472-irs","How to Fax Form 5472 to the IRS","Filing and troubleshooting","Foreign owners of US LLCs","Take action","2026-08-19","2026-09-11","","yes","200","Metadata only; coverage unassessed"
"https://www.form5472prep.com/blog/how-to-fill-out-form-5472","Form 5472: How to Fill It Out Part by Part","Form 5472 eligibility and operations","Foreign owners of US LLCs","Take action","2026-08-15","2026-09-11","","yes","200","Metadata only; coverage unassessed"
"https://www.form5472prep.com/blog/how-to-fill-out-form-ss-4-foreign-owned-llc","How to Fill Out Form SS-4 for a Foreign-Owned LLC","EIN","Foreign owners of US LLCs","Take action","2026-08-30","2026-08-30","","yes","200","Local body reviewed; live body not compared"
"https://www.form5472prep.com/blog/how-to-fill-out-form-w-7-nonresident-llc-owner","How to Fill Out Form W-7 as a Nonresident LLC Owner","ITIN","Individuals with a potential US federal tax ID need","Take action","2026-09-05","2026-09-05","","yes","200","Live body reviewed; local body also available"
"https://www.form5472prep.com/blog/irsn-vs-itin-rejected-w7","IRSN vs ITIN: What a Temporary IRS Number Means","ITIN","Individuals with a potential US federal tax ID need","Compare solutions","2026-09-11","2026-09-11","","yes","200","Metadata only; coverage unassessed"
"https://www.form5472prep.com/blog/itin-application-checklist-nonresidents","ITIN Application Checklist for Non-Residents","ITIN","Individuals with a potential US federal tax ID need","Take action","2026-09-03","2026-09-03","","yes","200","Local body reviewed; live body not compared"
"https://www.form5472prep.com/blog/itin-application-rejected-cp567-cp566","ITIN Application Rejected? Fix CP567 or CP566","ITIN","Individuals with a potential US federal tax ID need","Take action","2026-09-05","2026-09-05","","yes","200","Local body reviewed; live body not compared"
"https://www.form5472prep.com/blog/itin-caa-vs-mail-vs-tac","CAA vs Mailing Your Passport vs an IRS ITIN Appointment","ITIN","Individuals with a potential US federal tax ID need","Compare solutions","2026-09-03","2026-09-03","","yes","200","Local body reviewed; live body not compared"
"https://www.form5472prep.com/blog/itin-cost-irs-fee-caa-service","How Much Does an ITIN Cost? IRS Fee vs CAA Service","ITIN","Individuals with a potential US federal tax ID need","Compare solutions","2026-09-03","2026-09-03","","yes","200","Local body reviewed; live body not compared"
"https://www.form5472prep.com/blog/itin-name-change-marriage-passport","ITIN Name Changes: Marriage, Passport Updates, and Renewal","ITIN","Individuals with a potential US federal tax ID need","Maintain or troubleshoot","2026-09-11","2026-09-11","","yes","200","Local body reviewed; live body not compared"
"https://www.form5472prep.com/blog/itin-nonresident-rental-property","ITIN for Non-Resident Owners of US Rental Property","ITIN","Individuals with a potential US federal tax ID need","Understand the problem","2026-09-03","2026-09-03","","yes","200","Local body reviewed; live body not compared"
"https://www.form5472prep.com/blog/itin-processing-time-status-delays","How Long Does an ITIN Take? Processing Time and Delays","ITIN","Individuals with a potential US federal tax ID need","Maintain or troubleshoot","2026-09-03","2026-09-03","","yes","200","Local body reviewed; live body not compared"
"https://www.form5472prep.com/blog/itin-refund-30-percent-withholding-1042-s","How to Refund 30% Withholding on Form 1042-S","ITIN","Individuals with a potential US federal tax ID need","Understand the problem","2026-09-05","2026-09-05","","yes","200","Local body reviewed; live body not compared"
"https://www.form5472prep.com/blog/itin-renewal-expired-itin-what-to-do","ITIN Expired? How to Renew It","ITIN","Individuals with a potential US federal tax ID need","Maintain or troubleshoot","2026-09-05","2026-09-05","","yes","200","Local body reviewed; live body not compared"
"https://www.form5472prep.com/blog/itin-required-form-5472","Do You Need an ITIN to File Form 5472? The 2026 Answer","ITIN","Individuals with a potential US federal tax ID need","Understand the problem","2026-08-31","2026-09-05","2026-08-31T09:00:00-04:00","yes","200","Local body reviewed; live body not compared"
"https://www.form5472prep.com/blog/itin-without-passport-alternative-documents","Can You Apply for an ITIN Without a Valid Passport?","ITIN","Individuals with a potential US federal tax ID need","Understand the problem","2026-09-11","2026-09-11","","yes","200","Local body reviewed; live body not compared"
"https://www.form5472prep.com/blog/llc-vs-c-corp-non-resident-founders","LLC vs C Corp for Non-Resident Founders","Form 5472 eligibility and operations","Foreign owners of US LLCs","Compare solutions","2026-08-28","2026-08-28","","yes","200","Metadata only; coverage unassessed"
"https://www.form5472prep.com/blog/lost-ein-147c-letter-replacement","Lost EIN Letter? How to Get Letter 147C","EIN","Foreign owners of US LLCs","Maintain or troubleshoot","2026-08-30","2026-08-30","","yes","200","Local body reviewed; live body not compared"
"https://www.form5472prep.com/blog/multi-member-llc-form-5472-or-1065","Multi-Member LLC with Foreign Owners: 5472 or 1065?","Form 5472 eligibility and operations","Foreign owners of US LLCs","Understand the problem","2026-08-15","2026-08-28","","yes","200","Metadata only; coverage unassessed"
"https://www.form5472prep.com/blog/multiple-related-parties-form-5472","Form 5472: How Many Forms for Related Parties?","Filing and troubleshooting","Foreign owners of US LLCs","Understand the problem","2026-09-21","2026-08-28","2026-09-21T09:00:00-04:00","no","404","Local body reviewed; live body not compared"
"https://www.form5472prep.com/blog/nevada-llc-foreign-owner-tax-filing","Nevada LLC Non-Resident Annual Fees and Filings","Form 5472 eligibility and operations","Foreign owners of US LLCs","Take action","2026-08-19","2026-09-05","","yes","200","Metadata only; coverage unassessed"
"https://www.form5472prep.com/blog/new-ein-llc-ownership-structure-change","New EIN Rules After LLC Ownership or Structure Changes","EIN","Foreign owners of US LLCs","Maintain or troubleshoot","2026-09-03","2026-09-03","","yes","200","Live body reviewed; local body also available"
